top - 00:01:53 up 11 min,  4 users,  load average: 0.96, 0.96, 0.57
Tasks: 158 total,   1 running, 157 sleeping,   0 stopped,   0 zombie
Cpu(s): 21.3%us,  5.8%sy,  0.2%ni, 61.1%id, 11.4%wa,  0.1%hi,  0.3%si,  0.0%st
Mem:   1025856k total,   846520k used,   179336k free,    80180k buffers
Swap:        0k total,        0k used,        0k free,   377500k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                         
 1375 shulong   20   0 93308  35m  16m S  3.9  3.5   0:08.82 emesene                                                         
 1559 shulong   20   0  101m  30m  16m S  1.9  3.0   0:44.45 plugin-containe                                                 
 1848 shulong   20   0  2544 1084  796 R  1.9  0.1   0:00.02 top                                                             
    1 root      20   0  2800 1648 1192 S  0.0  0.2   0:00.40 init                                                            
    2 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kthreadd                                                        
    3 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/0                                                     
    4 root      20   0     0    0    0 S  0.0  0.0   0:00.03 ksoftirqd/0                                                     
    5 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 watchdog/0                                                      
    6 root      20   0     0    0    0 S  0.0  0.0   0:00.05 events/0                                                        
    7 root      20   0     0    0    0 S  0.0  0.0   0:00.00 cpuset                                                          
    8 root      20   0     0    0    0 S  0.0  0.0   0:00.00 khelper                                                         
    9 root      20   0     0    0    0 S  0.0  0.0   0:00.00 netns                                                           
   10 root      20   0     0    0    0 S  0.0  0.0   0:00.00 async/mgr                                                       
   11 root      20   0     0    0    0 S  0.0  0.0   0:00.00 pm                                                              
   12 root      20   0     0    0    0 S  0.0  0.0   0:00.00 sync_supers                                                     
   13 root      20   0     0    0    0 S  0.0  0.0   0:00.00 bdi-default                                                     
   14 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/0                                                   
   15 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kblockd/0                                                       
   16 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpid                                                          
   17 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpi_notify                                                    
   18 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpi_hotplug                                                   
   19 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata/0                                                           
   20 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_aux                                                         
   21 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ksuspend_usbd                                                   
   22 root      20   0     0    0    0 S  0.0  0.0   0:00.00 khubd                                                           
   23 root      20   0     0    0    0 S  0.0  0.0   0:00.02 kseriod                                                         
   24 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kmmcd                                                           
   27 root      20   0     0    0    0 S  0.0  0.0   0:00.00 khungtaskd                                                      
   28 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kswapd0                                                         
   29 root      25   5     0    0    0 S  0.0  0.0   0:00.00 ksmd                                                            
